id,fullName,firstName,lastName,position,teams
cd417f8a-ce01-4ab2-921d-42e2e445bbe2,Eizabeth Guerra,Eizabeth,Guerra,batter,Breath Mints
b39b5aae-8571-4c90-887a-6a00f2a2f6fd,Dickerson Morse,Dickerson,Morse,batter,Breath Mints
4b6f0a4e-de18-44ad-b497-03b1f470c43c,Rodriguez Internet,Rodriguez,Internet,batter,Breath Mints
88cd6efa-dbf2-4309-aabe-ec1d6f21f98a,Hewitt Best,Hewitt,Best,batter,Breath Mints
493a83de-6bcf-41a1-97dd-cc5e150548a3,Boyfriend Monreal,Boyfriend,Monreal,batter,Breath Mints
64f4cd75-0c1e-42cf-9ff0-e41c4756f22a,Grey Alvarado,Grey,Alvarado,batter,Breath Mints
53e701c7-e3c8-4e18-ba05-9b41b4b64cda,Marquez Clark,Marquez,Clark,batter,Breath Mints
33fbfe23-37bd-4e37-a481-a87eadb8192d,Whit Steakknife,Whit,Steakknife,batter,Breath Mints
c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec,Eduardo Ingram,Eduardo,Ingram,batter,Breath Mints
7dcf6902-632f-48c5-936a-7cf88802b93a,Parker Parra,Parker,Parra,batter,Crabs
4ecee7be-93e4-4f04-b114-6b333e0e6408,Sutton Dreamy,Sutton,Dreamy,batter,Crabs
1a93a2d2-b5b6-479b-a595-703e4a2f3885,Pedro Davids,Pedro,Davids,batter,Crabs
c675fcdf-6117-49a6-ac32-99a89a3a88aa,Valentine Games,Valentine,Games,batter,Crabs
d35ccee1-9559-49a1-aaa4-7809f7b5c46e,Forrest Best,Forrest,Best,batter,Crabs
84a2b5f6-4955-4007-9299-3d35ae7135d3,Kennedy Loser,Kennedy,Loser,batter,Crabs
817dee99-9ccf-4f41-84e3-dc9773237bc8,Holden Stanton,Holden,Stanton,batter,Crabs
d6c69d2d-9344-4b19-85a4-6cfcbaead5d2,Joshua Watson,Joshua,Watson,batter,Crabs
f8c20693-f439-4a29-a421-05ed92749f10,Combs Duende,Combs,Duende,batter,Crabs
0eddd056-9d72-4804-bd60-53144b785d5c,Caleb Novak,Caleb,Novak,batter,Dalé
12577256-bc4e-4955-81d6-b422d895fb12,Jasmine Washington,Jasmine,Washington,batter,Dalé
5a26fc61-d75d-4c01-9ce2-1880ffb5550f,Randy Dennis,Randy,Dennis,batter,Dalé
bbf9543f-f100-445a-a467-81d7aab12236,Farrell Seagull,Farrell,Seagull,batter,Dalé
c22e3af5-9001-465f-b450-864d7db2b4a0,Logan Horseman,Logan,Horseman,batter,Dalé
2e6d4fa9-f930-47bd-971a-dd54a3cf7db1,Raúl Leal,Raúl,Leal,batter,Dalé
64b055d1-b691-4e0c-8583-fc08ba663846,Theodore Passon,Theodore,Passon,batter,Dalé
f0bcf4bb-74b3-412e-a54c-04c12ad28ecb,Hahn Fox,Hahn,Fox,batter,Dalé
2ca0c790-e1d5-4a14-ab3c-e9241c87fc23,Murray Pony,Murray,Pony,batter,Dalé
a38ada0a-aeac-4a3d-b9a5-968687ccd2f9,Sixpack Santiago,Sixpack,Santiago,batter,Dalé
c0177f76-67fc-4316-b650-894159dede45,Paula Mason,Paula,Mason,batter,Firefighters
e4e4c17d-8128-4704-9e04-f244d4573c4d,Wesley Poole,Wesley,Poole,batter,Firefighters
bfd9ff52-9bf6-4aaf-a859-d308d8f29616,Declan Suzanne,Declan,Suzanne,batter,Firefighters
69196296-f652-42ff-b2ca-0d9b50bd9b7b,Joshua Butt,Joshua,Butt,batter,Firefighters
68f98a04-204f-4675-92a7-8823f2277075,Isaac Johnson,Isaac,Johnson,batter,Firefighters
